,class,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM
143,RecordFunctionInformationTest,11,0,151,0,7,0,0,1,1,9.182,4,0.276
144,JsMessageVisitorTest,48,3,427,0,9,0,0,0,1,27.979,10,0.064
145,CleanupPassesTest,2,2,9,0,1,0,0,0,1,19.5,6,3.5
146,ConvertToDottedPropertiesTest,5,0,36,0,17,0,0,1,1,13.0,4,0.25
147,UnreachableCodeEliminationTest,27,1,120,0,12,0,0,1,1,23.63,4,0.082
148,TypedScopeCreatorTest,121,4,1151,0,14,3,0,2,1,21.983,22,0.058
149,CheckMissingGetCssNameTest,9,0,22,0,4,0,0,1,1,22.667,6,0.412
150,RescopeGlobalSymbolsTest,9,1,46,0,9,0,0,1,1,14.556,5,0.22
151,JSCompilerSourceExcerptProviderTest,9,1,90,0,12,1,0,0,2,22.778,34,0.891
152,FunctionToBlockMutatorTest,22,0,73,0,11,4,0,3,1,26.364,6,0.143
153,InstrumentFunctionsTest,17,1,57,0,11,1,0,1,1,13.294,4,0.151
154,RemoveUnusedClassPropertiesTest,15,1,53,0,6,0,0,1,1,12.067,6,0.175
155,DisambiguatePropertiesTest,69,2,216,0,10,3,0,1,5,19.551,31,0.844
156,TypeCheckFunctionCheckTest,21,1,65,0,9,0,0,1,1,20.19,15,0.327
157,ClosureReverseAbstractInterpreterTest,35,0,114,0,5,0,0,0,0,18.057,0,0.0
158,RemoveUnusedNamesTest,10,2,17,0,4,0,0,1,1,25.7,10,1.444
159,PeepholeReplaceKnownMethodsTest,19,1,182,0,40,0,0,1,1,16.0,6,0.059
160,ReplaceMessagesTest,38,3,161,0,3,0,0,1,1,29.368,7,0.149
161,CollapseAnonymousFunctionsTest,20,0,38,0,1,0,0,1,1,20.3,4,0.4
162,JSModuleGraphTest,22,8,280,0,21,2,0,1,1,19.273,4,0.049
163,DevirtualizePrototypeMethodsTest,50,2,141,0,3,0,0,1,4,25.5,21,0.982
164,AstValidatorTest,15,1,42,0,8,1,0,1,1,13.667,6,0.156
165,DefaultCodingConventionTest,21,1,141,0,15,0,0,1,1,22.238,7,0.156
