,params,mean_test_f1,mean_test_recall,mean_test_precision
3609,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 14, 'splitter': 'random'}",0.0,0.0,0.0
3610,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 15, 'splitter': 'best'}",0.23607123870281765,0.16373626373626374,0.4644444444444444
3611,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 15, 'splitter': 'random'}",0.12022222222222223,0.09010989010989011,0.29
3612,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 16, 'splitter': 'best'}",0.23052796876326292,0.16263736263736264,0.442063492063492
3613,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 16, 'splitter': 'random'}",0.12268907563025211,0.07362637362637363,0.45
3614,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 17, 'splitter': 'best'}",0.23433749257278672,0.16263736263736264,0.4611111111111111
3615,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 17, 'splitter': 'random'}",0.07105263157894737,0.04395604395604395,0.23333333333333334
3616,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 18, 'splitter': 'best'}",0.21618819776714515,0.14835164835164835,0.4377777777777777
3617,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 18, 'splitter': 'random'}",0.17634920634920634,0.1054945054945055,0.8133333333333332
3618,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 19, 'splitter': 'best'}",0.2174953873096288,0.14835164835164835,0.4477777777777778
3619,"{'class_weight': {0: 0.8421955403087479, 1: 0.15780445969125215}, 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 19, 'splitter': 'random'}",0.08190476190476192,0.046153846153846156,0.4
